State,Illiterate population (%),Deprived_Cooking_Fuel (%),Deprived_Sanitisation (%),Deprived_Drinking_Water (%),Deprived_Electricity (%),Deprived_House (%),Deprived_Assets (%),Infant Mortality Rate (%),Men BMI Below Normal (%),Women BMI Below Normal (%),Attendance Ratio
Arunachal Pradesh,0.4464189829352177,0.6943703318629737,0.5646410360301819,0.00028008059372440193,0.8428868485631503,0.47171022957486985,0.30676492848242015,16.7,6.4,5.6,0.7007777777777777
Assam,0.3854310844959247,0.8227642265382803,0.6209080922241701,0.005556718573580061,0.9576002854337792,0.21459948969546036,0.23554994703402304,22.7,11.3,13.9,0.764111111111111
Bihar,0.4956308415533254,0.8966564449931824,0.77717522091496,0.010651147822685825,0.9430477897575781,0.31770392101998474,0.25594329523058607,43.1,12.9,18.7,0.6933333333333331
Chhattisgarh,0.39793295005973334,0.8191728082464517,0.720446169069721,0.007305839997535807,0.500611126216817,0.1092918431089292,0.27088825062023714,26.2,11.1,16.0,0.7235555555555555
Delhi,0.2412549579486847,0.04351035671499621,0.10662983028482238,0.0010230163313043612,0.9010282176104567,0.01960672203100219,0.029147400807893853,24.2,9.2,10.1,0.7887777777777778
Gujarat,0.32009302040400556,0.5256618372458538,0.42882776036468323,0.007413529323107991,0.661094247469973,0.02020329226993218,0.18729230146355377,24.1,16.0,17.2,0.7423333333333333
Haryana,0.34524533535777935,0.5542533391568316,0.3415177539660005,0.0023758259486376366,0.7524880362012805,0.22150267009913469,0.09362024301211926,28.6,15.0,11.4,0.7993333333333333
Himachal Pradesh,0.2658371162669008,0.5704133949461407,0.33793430995083173,0.0006159092864867709,0.697634239487996,0.04624775667353128,0.08854035098650193,27.1,12.7,14.5,0.8466666666666667
Jharkhand,0.4444041909130113,0.8855972390618296,0.7997689607000462,0.007780622018349006,0.7488470175067157,0.11501300291157299,0.21018709212669132,22.2,12.1,17.3,0.758777777777778
Karnataka,0.3346898370917159,0.7425541248939618,0.5689357309016629,0.0054268779155642825,0.5210466735517427,0.13726351883929103,0.14252774544532204,21.4,11.5,12.9,0.7133333333333333
Kerala,0.15776289817587294,0.6283183673152013,0.05598966871728546,0.003132534921156196,0.9722835996718664,0.03347454826557047,0.04829148939203278,3.5,6.9,9.7,0.8611111111111112
Madhya Pradesh,0.40995774257101625,0.7972035621099749,0.7193496204349589,0.021933273595380436,0.6042930028509615,0.10207662949336822,0.32607365096748664,33.9,17.7,17.1,0.7030000000000001
Maharashtra,0.27426229973707605,0.5162237552710136,0.47008313543991187,0.012562287159470664,0.69052948270948,0.07379610676702775,0.1897035237916996,22.6,15.3,15.8,0.7803333333333334
Manipur,0.331717904022489,0.7131669890556017,0.3483657314683449,0.001023497774111224,0.9398085135917132,0.16964448282264882,0.1999953128915311,12.2,7.6,6.1,0.8201111111111112
Meghalaya,0.39835801069740057,0.8076073464750805,0.5150737382450087,0.0006502455889391086,0.8655320163535508,0.1552465304805784,0.3576395274745076,23.4,8.6,10.2,0.7822222222222223
Mizoram,0.22696831770879852,0.45258439367279274,0.23876296493981736,0.00024339663717262,0.9796812875152097,0.18126716031066098,0.18964885537618165,20.6,2.6,4.2,0.7278888888888889
Nagaland,0.3214896927069065,0.7884939932244072,0.40723063268035953,0.0005626825580249512,0.852779618216594,0.19302188941532383,0.32307576912979885,17.0,7.4,11.6,0.7653333333333334
Odisha,0.3628683185660432,0.8555988482979073,0.7907966580266546,0.015826866456232814,0.7528528225617118,0.33778035616766167,0.25484508209999185,31.2,10.9,12.6,0.7094444444444444
Puducherry,0.2328965914581719,0.3241891374888413,0.31642412820767146,8.293720930594997e-06,0.7172147988607541,0.26240913663865784,0.06152498041662794,4.1,11.2,7.6,0.8282222222222224
Punjab,0.3257070580331754,0.38973161018244235,0.23286756647910392,0.0008209145823080132,0.8196529992997744,0.07351061665936863,0.04404163706705308,20.1,11.2,11.9,0.8553333333333335
Rajasthan,0.44163158672749897,0.7535028621744642,0.6682455245038187,0.01454481404152465,0.6600879778637961,0.1466520819349181,0.2115585325303746,22.2,11.0,14.0,0.7390000000000001
Sikkim,0.271259808345221,0.5338130507059181,0.1834060453754361,0.00011277177334772526,0.9101388422786055,0.06725928932108545,0.1819387970124326,17.8,4.4,5.6,0.9005555555555557
Tamil Nadu,0.2815018580806445,0.4408914140619094,0.5201241463077569,0.0056623778980387715,0.5454121729996814,0.1491201117499142,0.05077309509980613,14.9,11.3,9.7,0.8432222222222222
Tripura,0.23656876298511914,0.8147051250562127,0.2992805960267258,0.0013548098384793133,0.9602494598240824,0.12302009656126561,0.278409219002327,23.2,13.2,14.6,0.9195555555555555
Uttar Pradesh,0.427475027681098,0.7849538334528541,0.6408273407023134,0.017179502357089385,0.7774076873626878,0.23724269838829637,0.1135059168820954,42.0,13.4,13.6,0.6868888888888889
Uttarakhand,0.3177916126164105,0.4816465951149336,0.324351749738975,0.0010038479589321544,0.7772920195167781,0.03412316709085137,0.1381855800603685,38.3,20.7,11.6,0.7578888888888887
